Player,Pos,Age,Tm,G,MPG,PPA
Donte DiVincenzo,SG,26,GSW,48,25.2,106
Patrick Baldwin Jr.,SF,20,GSW,16,8.1,95
Ty Jerome,SG,25,GSW,36,17.8,89
Jordan Poole,PG,23,GSW,58,30.7,84
Anthony Lamb,SF,25,GSW,43,19.5,77
James Wiseman,C,21,GSW,21,12.5,69
JaMychal Green,C,32,GSW,38,14.7,65
Moses Moody,SG,20,GSW,44,14.3,56
Jonathan Kuminga,PF,20,GSW,46,19.3,54
Andre Iguodala,SF,39,GSW,3,14,23
Ryan Rollins,PG,20,GSW,12,5.2,-64
Darius Days,PF,23,HOU,3,7.7,128
Alperen Şengün,C,20,HOU,53,28.3,125
Boban Marjanović,C,34,HOU,19,4.4,115
Kenyon Martin Jr.,SF,22,HOU,58,26.3,108
Kevin Porter Jr.,PG,22,HOU,40,34,101
Usman Garuba,PF,20,HOU,51,13.6,94
Tari Eason,PF,21,HOU,58,19.4,94
Eric Gordon,SF,34,HOU,47,30.2,85
Jalen Green,SG,20,HOU,54,33.9,77
Bruno Fernando,C,24,HOU,31,11.7,67
Jabari Smith Jr.,PF,19,HOU,55,29.9,59
Frank Kaminsky,C,29,HOU,3,6.7,58
Garrison Mathews,SG,26,HOU,45,13.4,52
Jae’Sean Tate,SF,27,HOU,20,21,37
Daishen Nix,PG,20,HOU,41,15.5,35
Josh Christopher,SG,21,HOU,40,10.2,33
TyTy Washington Jr.,PG,21,HOU,23,12.7,13
Trevor Hudgins,PG,23,HOU,4,6.8,3
Tyrese Haliburton,PG,22,IND,48,33.4,211
Buddy Hield,SF,30,IND,60,32,143
Myles Turner,C,26,IND,50,29.8,132
Jalen Smith,PF,22,IND,51,18.2,103
T.J. McConnell,PG,30,IND,57,19.6,102
Isaiah Jackson,C,21,IND,45,15.3,79
Bennedict Mathurin,SF,20,IND,60,28.2,70
Aaron Nesmith,SG,23,IND,53,24.5,67
Oshae Brissett,SF,24,IND,49,16,65
Andrew Nembhard,SG,23,IND,53,27.1,60
Goga Bitadze,C,23,IND,21,9.6,55
Daniel Theis,C,30,IND,6,15.5,50
George Hill,PG,36,IND,1,10,46
Terry Taylor,PF,23,IND,26,8.8,42
Chris Duarte,SF,25,IND,36,19.3,41
Kendall Brown,SG,19,IND,6,6.7,37
Trevelin Queen,SG,25,IND,7,10,11
Jordan Nwora,SF,24,IND,2,13,2
James Johnson,PF,35,IND,12,8.2,-5
Kawhi Leonard,SF,31,LAC,34,32.4,216
Paul George,SF,32,LAC,44,34.2,157
Mason Plumlee,C,32,LAC,2,17.5,155
Eric Gordon,SG,34,LAC,2,24,142
Terance Mann,PG,26,LAC,60,23.5,111
Ivica Zubac,C,25,LAC,59,29.4,110
Norman Powell,SG,29,LAC,50,25.8,109
Moses Brown,C,23,LAC,34,8.5,103
Marcus Morris,PF,33,LAC,53,28.7,91
Moussa Diabaté,PF,21,LAC,17,10.1,90
Luke Kennard,SG,26,LAC,35,20.7,83
Nicolas Batum,PF,34,LAC,57,21.7,80
Robert Covington,PF,32,LAC,36,16.2,78
Reggie Jackson,PG,32,LAC,52,25.7,66
John Wall,PG,32,LAC,34,22.2,60
Bones Hyland,PG,22,LAC,2,16,60
Brandon Boston Jr.,SG,21,LAC,21,11.8,57
Jason Preston,PG,23,LAC,13,9.4,52
Amir Coffey,SG,25,LAC,40,14.3,31
Davon Reed,SG,27,LAL,2,5,207
LeBron James,PF,38,LAL,45,36.3,199
Anthony Davis,C,29,LAL,35,33.4,194
Jarred Vanderbilt,PF,23,LAL,3,22.3,174
Thomas Bryant,C,25,LAL,41,21.4,141
D’Angelo Russell,PG,26,LAL,3,30.3,127
Rui Hachimura,PF,24,LAL,11,26.2,98
Wenyen Gabriel,PF,25,LAL,46,15.3,89
Lonnie Walker IV,SG,24,LAL,42,26.7,89
Troy Brown Jr.,SF,23,LAL,53,24.1,83
Austin Reaves,SG,24,LAL,41,27.9,82
Dennis Schröder,PG,29,LAL,45,30.6,74
Russell Westbrook,PG,34,LAL,52,28.7,74
Patrick Beverley,PG,34,LAL,45,26.9,66
Damian Jones,C,27,LAL,22,8,61
Malik Beasley,SG,26,LAL,3,20.3,58
Cole Swider,SF,23,LAL,6,6.7,49
Sterling Brown,SG,27,LAL,4,6,47
Max Christie,SG,19,LAL,35,14.2,45
Juan Toscano-Anderson,SF,29,LAL,30,12.2,39
Kendrick Nunn,SG,27,LAL,39,13.5,32
Scotty Pippen Jr.,PG,22,LAL,6,5.3,20
Matt Ryan,SF,25,LAL,12,10.8,8
Mo Bamba,C,24,LAL,1,16,-71
Jaren Jackson Jr.,PF,23,MEM,40,27.2,194
Ja Morant,PG,23,MEM,48,32.8,177
Desmond Bane,SG,24,MEM,35,31.2,169
Steven Adams,C,29,MEM,42,27,145
Brandon Clarke,PF,26,MEM,51,20,137
Tyus Jones,PG,26,MEM,57,23.1,117
Santi Aldama,PF,22,MEM,54,22.1,113
Xavier Tillman Sr.,C,24,MEM,38,14.7,105
John Konchar,SG,26,MEM,49,22.4,102
Luke Kennard,SG,26,MEM,2,21,52
Kennedy Chandler,PG,20,MEM,24,9.2,45
Dillon Brooks,SF,27,MEM,52,30.5,40
David Roddy,SF,21,MEM,46,17.8,33
Jake LaRavia,SF,21,MEM,30,12.7,31
Ziaire Williams,SF,21,MEM,28,17.4,19
Vince Williams Jr.,SG,22,MEM,9,5.4,11
Kenneth Lofton Jr.,PF,20,MEM,8,3.9,-24
Danny Green,SG,35,MEM,3,14.3,-31
Jimmy Butler,SF,33,MIA,44,33.7,235
Bam Adebayo,C,25,MIA,54,35.4,137
Tyler Herro,SG,23,MIA,45,35.4,128
Kyle Lowry,PG,36,MIA,44,33.3,101
Caleb Martin,PF,27,MIA,49,30.3,101
Jamal Cain,SF,23,MIA,13,13.9,89
Max Strus,SF,26,MIA,57,30.2,83
Victor Oladipo,SG,30,MIA,26,28.4,70
Orlando Robinson,C,22,MIA,29,13.7,69
Nikola Jović,PF,19,MIA,15,13.6,66
Haywood Highsmith,SF,26,MIA,43,19.7,62
Dewayne Dedmon,C,33,MIA,30,11.7,58
Gabe Vincent,PG,26,MIA,45,26.3,52
Jamaree Bouyea,PG,23,MIA,4,16.3,40
Dru Smith,SG,25,MIA,5,13.4,35
Duncan Robinson,SF,28,MIA,29,18.1,33
Udonis Haslem,C,42,MIA,6,7.7,-58
Giannis Antetokounmpo,PF,28,MIL,47,33.1,203
Jrue Holiday,PG,32,MIL,47,33,159
Bobby Portis,PF,27,MIL,47,26.8,148
Grayson Allen,SG,27,MIL,54,27.6,125
Brook Lopez,C,34,MIL,57,30.3,124
Pat Connaughton,SG,30,MIL,41,25.4,100
Khris Middleton,SF,31,MIL,17,21.4,100
Jevon Carter,PG,27,MIL,58,22.5,91
A.J. Green,SG,23,MIL,26,9.4,83
George Hill,PG,36,MIL,35,19.1,64
Jordan Nwora,SF,24,MIL,38,15.7,61
Joe Ingles,SF,35,MIL,25,22.5,57
MarJon Beauchamp,SF,22,MIL,38,14.8,42
Wesley Matthews,SG,36,MIL,39,15.6,38
Serge Ibaka,C,33,MIL,16,11.6,34
Sandro Mamukelashvili,C,23,MIL,24,9.1,33
Thanasis Antetokounmpo,SF,30,MIL,25,4,-23
A.J. Lawson,SG,22,MIN,1,2,168
Karl-Anthony Towns,PF,27,MIN,21,33.8,150
Rudy Gobert,C,30,MIN,50,30.5,143
Josh Minott,SF,20,MIN,11,6.2,140
D’Angelo Russell,PG,26,MIN,54,32.9,133
Anthony Edwards,SG,21,MIN,61,36.2,130
Kyle Anderson,PF,29,MIN,48,26.1,126
Luka Garza,C,24,MIN,22,9.3,96
Jaden McDaniels,SF,22,MIN,58,30.5,95
Jordan McLaughlin,PG,26,MIN,24,15.3,82
Mike Conley,PG,35,MIN,3,30.7,81
Naz Reid,C,23,MIN,53,17.7,81
Jaylen Nowell,SG,23,MIN,61,19.7,72
Nathan Knight,PF,25,MIN,33,8.1,71
Matt Ryan,SF,25,MIN,20,8.7,66
Taurean Prince,SF,28,MIN,37,21.3,58
Austin Rivers,SG,30,MIN,46,20.8,53
Wendell Moore Jr.,SG,21,MIN,24,5.8,31
Bryn Forbes,SG,29,MIN,25,10.7,19
Nickeil Alexander-Walker,SG,24,MIN,2,3,-39
Zion Williamson,PF,22,NOP,29,33,202
Larry Nance Jr.,PF,30,NOP,48,22.7,131
Jonas Valančiūnas,C,30,NOP,58,24.7,130
Trey Murphy III,SF,22,NOP,56,29.3,127
CJ McCollum,PG,31,NOP,52,35,120
Brandon Ingram,SF,25,NOP,24,32.2,117
Willy Hernangómez,C,28,NOP,29,12.8,92
Herbert Jones,SG,24,NOP,43,28.8,88
Josh Richardson,SG,29,NOP,2,26.5,86
Naji Marshall,SF,25,NOP,54,24.9,79
Devonte’ Graham,PG,27,NOP,53,15.3,77
Kira Lewis Jr.,PG,21,NOP,14,11.1,72
Jose Alvarado,PG,24,NOP,58,21.8,72
Garrett Temple,SG,36,NOP,18,7.2,68
Dyson Daniels,PG,19,NOP,39,19.9,64
Jaxson Hayes,C,22,NOP,33,13.3,58
Dereon Seabron,SG,22,NOP,5,2.4,-1
Josh Hart,SG,27,NYK,3,26,221
Mitchell Robinson,C,24,NYK,38,26.9,160
Jalen Brunson,PG,26,NYK,56,35.1,155
Julius Randle,PF,28,NYK,60,35.9,154
Svi Mykhailiuk,SF,25,NYK,13,3.1,103
Immanuel Quickley,PG,23,NYK,59,27.7,100
Jericho Sims,C,24,NYK,47,16.3,92
Quentin Grimes,SG,22,NYK,49,30.2,82
Isaiah Hartenstein,C,24,NYK,60,19.7,79
Obi Toppin,PF,24,NYK,45,14.9,73
RJ Barrett,SF,22,NYK,53,34.5,66
Cam Reddish,SF,23,NYK,20,21.9,61
Derrick Rose,PG,34,NYK,26,12.9,43
Evan Fournier,SG,30,NYK,23,18,38
Miles McBride,PG,22,NYK,47,12.6,34
Ryan Arcidiacono,PG,28,NYK,11,2.4,8
Trevor Keels,SG,19,NYK,1,1,-241
Shai Gilgeous-Alexander,PG,24,OKC,53,35.4,200
Dario Šarić,PF,28,OKC,1,14,150
Josh Giddey,SG,20,OKC,52,30.8,131
Isaiah Joe,SG,23,OKC,49,15.7,123
Kenrich Williams,PF,28,OKC,49,22.5,120
Aleksej Pokusevski,PF,21,OKC,31,21.8,110
Jalen Williams,SF,21,OKC,53,29,105
Jeremiah Robinson-Earl,C,22,OKC,28,20.9,101
Aaron Wiggins,SG,24,OKC,46,18.4,85
Luguentz Dort,SF,23,OKC,50,29.9,84
Darius Bazley,PF,22,OKC,36,15.4,80
Jaylin Williams,C,20,OKC,25,15.7,76
Mike Muscala,C,31,OKC,43,14.5,72
Lindy Waters III,SG,25,OKC,23,11.1,70
Ousmane Dieng,SF,19,OKC,19,14.9,44
Tre Mann,PG,21,OKC,51,18.4,43
Eugene Omoruyi,SF,25,OKC,23,11.8,42
Jonathan Isaac,PF,25,ORL,10,10.8,131
Markelle Fultz,PG,24,ORL,38,29.2,124
Franz Wagner,SF,21,ORL,58,33.2,122
Bol Bol,PF,23,ORL,54,23.2,119
Wendell Carter Jr.,C,23,ORL,39,30.1,108
Gary Harris,SG,28,ORL,30,24.5,97
Moritz Wagner,C,25,ORL,38,21,97
Cole Anthony,PG,22,ORL,39,25.1,91
Mo Bamba,C,24,ORL,40,17,89
Paolo Banchero,PF,20,ORL,52,33.7,87
Jalen Suggs,SG,21,ORL,34,23,80
R.J. Hampton,SG,21,ORL,26,13.9,70
Chuma Okeke,SF,24,ORL,19,21.3,69
Admiral Schofield,PF,25,ORL,27,13,61
Terrence Ross,SG,31,ORL,42,22.5,54
Caleb Houstan,SF,20,ORL,34,16.1,45
Kevon Harris,SG,25,ORL,27,12.4,43
James Harden,PG,33,PHI,41,36.4,200
Joel Embiid,C,28,PHI,45,34.9,198
Tobias Harris,SF,30,PHI,53,33.6,139
Jaden Springer,SG,20,PHI,7,3.7,130
De’Anthony Melton,SG,24,PHI,54,28.5,122
Tyrese Maxey,SG,22,PHI,38,32.8,115
Jalen McDaniels,SF,25,PHI,3,18.7,89
Montrezl Harrell,C,29,PHI,50,12.5,80
Georges Niang,PF,29,PHI,55,19.8,77
Shake Milton,PG,26,PHI,53,21.5,77
Matisse Thybulle,SG,25,PHI,49,12.1,73
Paul Reed,C,23,PHI,44,9.6,72
P.J. Tucker,PF,37,PHI,55,25.7,46
Danuel House Jr.,SF,29,PHI,37,14.8,43
Furkan Korkmaz,SG,25,PHI,25,10.2,41
Saben Lee,PG,23,PHI,2,5,35
Michael Foster Jr.,PF,20,PHI,1,1,0
Julian Champagnie,SF,21,PHI,2,3.5,-36
Cameron Johnson,PF,26,PHO,17,25.2,184
Chris Paul,PG,37,PHO,39,32,160
Devin Booker,SG,26,PHO,33,33.8,160
T.J. Warren,SF,29,PHO,2,7.5,157
Deandre Ayton,C,24,PHO,51,30.2,144
Mikal Bridges,SF,26,PHO,56,36.4,128
Torrey Craig,PF,32,PHO,57,25.9,104
Josh Okogie,PG,24,PHO,50,15,96
Cameron Payne,PG,28,PHO,28,24,87
Jock Landale,C,27,PHO,51,14.1,76
Landry Shamet,SG,25,PHO,30,21.4,76
Dario Šarić,PF,28,PHO,37,14.4,76
Damion Lee,SG,30,PHO,60,22.1,72
Saben Lee,PG,23,PHO,18,15.8,71
Terrence Ross,SG,31,PHO,1,25,67
Ish Wainright,SF,28,PHO,42,15.5,63
Bismack Biyombo,C,30,PHO,46,14,57
Duane Washington Jr.,PG,22,PHO,31,12.7,25
Damian Lillard,PG,32,POR,46,36.2,208
Cam Reddish,SF,23,POR,3,23,152
Matisse Thybulle,SG,25,POR,2,28.5,131
Jerami Grant,PF,28,POR,54,35.7,120
Josh Hart,SF,27,POR,51,33.4,119
Anfernee Simons,SG,23,POR,56,35.5,115
Jusuf Nurkić,C,28,POR,45,27.3,113
Drew Eubanks,C,25,POR,56,19.5,89
Gary Payton II,PG,30,POR,15,17,77
Trendon Watford,PF,22,POR,42,16.2,68
Nassir Little,SF,22,POR,37,16.8,66
Justise Winslow,SF,26,POR,29,26.8,60
Shaedon Sharpe,SG,19,POR,57,20.3,57
Jabari Walker,SF,20,POR,38,8.8,50
Kevin Knox,SF,23,POR,2,7,25
John Butler,C,20,POR,8,3.3,3
Keon Johnson,SG,20,POR,28,9.8,3
Greg Brown III,PF,21,POR,16,5.8,-4
Ryan Arcidiacono,PG,28,POR,2,4.5,-88
PJ Dozier,SG,26,SAC,4,2.5,257
Domantas Sabonis,C,26,SAC,55,34.6,160
De’Aaron Fox,PG,25,SAC,52,34,148
Keon Ellis,SG,23,SAC,9,4,148
Kevin Huerter,SG,24,SAC,54,30.5,124
Harrison Barnes,PF,30,SAC,57,32.6,118
Keegan Murray,SF,22,SAC,55,29.5,108
Terence Davis,SF,25,SAC,44,13.8,90
Trey Lyles,PF,27,SAC,51,15.9,89
Malik Monk,SG,24,SAC,54,22.6,89
Chimezie Metu,C,25,SAC,44,10.8,76
Neemias Queta,C,23,SAC,4,6.3,62
Richaun Holmes,C,29,SAC,33,9.1,56
Davion Mitchell,PG,24,SAC,56,17.8,49
Matthew Dellavedova,PG,32,SAC,24,6.1,41
Kessler Edwards,SF,22,SAC,1,10,23
KZ Okpala,PF,23,SAC,35,7.1,23
Alex Len,C,29,SAC,13,3.5,16
Chima Moneke,SF,27,SAC,2,4,-100
Deonte Burton,SG,29,SAC,2,3,-114
Jakob Poeltl,C,27,SAS,46,26.1,140
Devin Vassell,SG,22,SAS,29,31.3,128
Tre Jones,PG,23,SAS,52,29.3,119
Devonte’ Graham,PG,27,SAS,4,27.8,106
Keita Bates-Diop,SF,27,SAS,45,20.1,103
Keldon Johnson,SF,23,SAS,52,32.6,100
Josh Richardson,SG,29,SAS,42,23.7,89
Charles Bassey,C,22,SAS,26,13.6,87
Romeo Langford,SG,23,SAS,32,20.2,82
Stanley Johnson,SF,26,SAS,30,15.6,79
Zach Collins,C,25,SAS,48,21.2,70
Jeremy Sochan,PF,19,SAS,48,25.9,67
Doug McDermott,SF,31,SAS,51,20.5,57
Dominick Barlow,SF,19,SAS,10,9.5,57
Malaki Branham,SG,19,SAS,45,22,51
Gorgui Dieng,C,33,SAS,19,10.2,43
Isaiah Roby,PF,24,SAS,42,11.3,39
Joshua Primo,SG,20,SAS,4,23.3,10
Jordan Hall,SF,21,SAS,9,9.2,6
Alize Johnson,PF,26,SAS,4,7.5,2
Blake Wesley,PG,19,SAS,15,13.1,-28
Ron Harper Jr.,SF,22,TOR,3,3,236
Justin Champagnie,SF,21,TOR,3,3.7,195
Jakob Poeltl,C,27,TOR,3,26.3,149
Fred VanVleet,PG,28,TOR,50,36.9,130
Scottie Barnes,PF,21,TOR,56,35.2,127
Chris Boucher,PF,30,TOR,53,20.8,124
Otto Porter Jr.,SF,29,TOR,8,18.3,122
Gary Trent Jr.,SG,24,TOR,50,33.6,121
Pascal Siakam,PF,28,TOR,49,37.7,147
Joe Wieskamp,SF,23,TOR,2,8.5,117
OG Anunoby,SF,25,TOR,45,35.8,113
Thaddeus Young,PF,34,TOR,47,16,102
Precious Achiuwa,C,23,TOR,35,23.6,81
Dalano Banton,SG,23,TOR,26,9.5,66
Jeff Dowtin,PG,25,TOR,15,6.8,61
Christian Koloko,C,22,TOR,45,14.6,57
Juancho Hernangómez,PF,27,TOR,41,14.9,52
Malachi Flynn,PG,24,TOR,42,13.9,44
Khem Birch,C,30,TOR,20,8.1,31
Lauri Markkanen,SF,25,UTA,54,34.3,203
Jarred Vanderbilt,PF,23,UTA,52,24.1,144
Walker Kessler,C,21,UTA,57,21.3,138
Mike Conley,PG,35,UTA,43,29.7,120
Juan Toscano-Anderson,SF,29,UTA,1,25,120
Micah Potter,PF,24,UTA,3,4.7,104
Damian Jones,C,27,UTA,1,8,103
Jordan Clarkson,SG,30,UTA,58,32.5,103
Collin Sexton,PG,24,UTA,47,24,90
Kelly Olynyk,C,31,UTA,48,28.2,85
Malik Beasley,SG,26,UTA,55,26.8,81
Udoka Azubuike,C,23,UTA,24,5.7,78
Nickeil Alexander-Walker,SG,24,UTA,36,14.7,75
Talen Horton-Tucker,SG,22,UTA,46,16.5,61
Ochai Agbaji,SF,22,UTA,37,15.1,51
Rudy Gay,PF,36,UTA,44,14.7,43
Simone Fontecchio,SF,27,UTA,31,9.6,20
Leandro Bolmaro,SG,22,UTA,14,4.9,-75
Jordan Schakel,SF,24,WAS,2,3,175
Quenton Jackson,PG,24,WAS,3,2.7,174
Bradley Beal,SG,29,WAS,36,32.9,165
